SEQ,Kotak Standard Multicap Fund - Growth - Direct,Kotak Bluechip Fund - Growth - Direct
158,0.809733304,0.79194217
159,0.809609027,0.791183168
160,0.817339,0.797809841
161,0.818034946,0.798747646
162,0.822558596,0.80283823
163,0.815375438,0.794200931
164,0.824348172,0.802779846
165,0.826808839,0.806885026
166,0.831730172,0.813493454
167,0.827504785,0.809574375
168,0.832276987,0.814153931
169,0.830711108,0.812157902
170,0.833594313,0.81523405
171,0.832972933,0.81458087
172,0.840976313,0.822838668
173,0.847016131,0.828060457
174,0.843660677,0.824637649
175,0.843983794,0.824812804
176,0.842641613,0.824254499
177,0.846891855,0.829483587
178,0.847836353,0.829578462
179,0.845549673,0.827746639
180,0.842219074,0.825090132
181,0.825665498,0.810110785
182,0.817438421,0.802604691
183,0.817438421,0.802254383
184,0.805781324,0.791153975
185,0.809509607,0.794164441
186,0.814853478,0.799357038
187,0.820967862,0.80437448
188,0.824447593,0.808370189
189,0.823030845,0.806625943
190,0.829194939,0.81281473
191,0.828921532,0.81224183
192,0.831904158,0.815715724
193,0.829716899,0.812599437
194,0.837596003,0.820948461
195,0.839335869,0.823298448
196,0.840379788,0.824363971
197,0.84120001,0.824247201
198,0.841175155,0.822692706
199,0.842169363,0.822933544
200,0.842517337,0.823586723
201,0.850048468,0.830906716
202,0.852906818,0.833128987
203,0.851788333,0.832373633
204,0.857654164,0.839076937
205,0.856187707,0.838733926
206,0.862898616,0.846696151
207,0.860363383,0.846035673
208,0.862848905,0.847338384
209,0.863594562,0.847546379
210,0.855516616,0.840613186
211,0.848929983,0.835347608
212,0.850321875,0.838507685
213,0.852757686,0.840547503
214,0.845922501,0.833778517
215,0.843884374,0.830662229
216,0.838441081,0.826126461
217,0.844232347,0.832187532
218,0.852360003,0.838930975
219,0.852707976,0.839164514
220,0.855790023,0.841999825
221,0.857405612,0.842350134
222,0.857554744,0.843798806
223,0.860636791,0.845897009
224,0.861755276,0.847947775
225,0.862128104,0.84792953
226,0.861084185,0.847502591
227,0.852782542,0.839394404
228,0.845450252,0.831654771
229,0.843287848,0.830684124
230,0.843412124,0.830454234
231,0.837968832,0.824893083
232,0.850073323,0.836778036
233,0.855591181,0.84340106
234,0.858449531,0.847170527
235,0.852459424,0.841386785
236,0.848805707,0.837358234
237,0.851912609,0.841145947
238,0.858499242,0.847670447
239,0.863992245,0.854063581
240,0.871871349,0.861635358
241,0.873710636,0.861701041
242,0.874307161,0.863762753
243,0.877190366,0.866689291
244,0.879526757,0.869582987
245,0.87530137,0.86615653
246,0.873288097,0.865612821
247,0.87587304,0.867846039
248,0.871200258,0.862927121
249,0.868739592,0.860836216
250,0.869584669,0.861558728
251,0.874431437,0.866525084
252,0.880719807,0.872162864
253,0.887530137,0.878384493
254,0.886312231,0.877136518
255,0.884249248,0.875052911
256,0.88387642,0.875651355
257,0.885342878,0.879643415
258,0.888101807,0.881847441
259,0.880048716,0.87685919
260,0.885964258,0.883471267
261,0.88506947,0.883438426
262,0.889568265,0.889036067
